更新时间,#genre#
CCTV-7,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225733/2.m3u8
CCTV-8,http://171.213.131.154:4022/rtp/239.93.42.39:5140$1920x1080
CCTV-8,http://221.237.92.253:9999/rtp/239.93.42.39:5140$1920x1080
CCTV-8,http://171.213.130.23:8088/rtp/239.93.42.39:5140$1920x1080
CCTV-8,http://222.211.162.32:1880/rtp/239.93.42.39:5140$1920x1080
CCTV-8,http://223.10.39.207:8083/rtp/239.1.1.15:8015$1920x1080
CCTV-8,http://223.10.115.195:8083/rtp/239.1.1.15:8015$1920x1080
CCTV-8,http://171.117.3.37:8083/rtp/226.0.2.211:9600$1920x1080
CCTV-8,http://116.135.5.103:8082/rtp/226.0.2.211:9600$1920x1080
CCTV-8,http://171.117.3.37:8083/rtp/226.0.2.25:8112$1920x1080
CCTV-8,http://116.135.5.103:8082/rtp/226.0.2.25:8112$1920x1080
CCTV-8,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226008/2.m3u8
CCTV-8,http://39.98.201.151:9090/udp/225.1.8.91:8000
CCTV-8,http://58.57.21.166:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://110.177.146.171:888/rtp/239.1.1.15:8015$1920x1080
CCTV-8,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226008/index.m3u8
CCTV-8,http://116.117.105.198:8096/tsfile/live/0008_1.m3u8
CCTV-8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3
CCTV-8,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226150/index.m3u8
CCTV-8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8
CCTV-8,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://171.213.131.154:4022/rtp/239.93.1.24:5140$1920x1080
CCTV-9,http://221.237.92.253:9999/rtp/239.93.1.24:5140$1920x1080
CCTV-9,http://171.213.130.23:8088/rtp/239.93.1.24:5140$1920x1080
CCTV-9,http://222.211.162.32:1880/rtp/239.93.1.24:5140$1920x1080
CCTV-9,http://223.10.39.207:8083/rtp/239.1.1.16:8016$1920x1080
CCTV-9,http://223.10.115.195:8083/rtp/239.1.1.16:8016$1920x1080
CCTV-9,http://171.117.3.37:8083/rtp/226.0.2.161:9200$1920x1080
CCTV-9,http://116.135.5.103:8082/rtp/226.0.2.161:9200$1920x1080
CCTV-9,http://171.117.3.37:8083/rtp/226.0.2.26:8120$1920x1080
CCTV-9,http://116.135.5.103:8082/rtp/226.0.2.26:8120$1920x1080
CCTV-9,http://221.0.78.198:1681/hls/10209/index.m3u8
CCTV-9,http://121.24.98.154:8090/hls/17/index.m3u8
CCTV-9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV-9,http://116.117.105.31:8096/tsfile/live/0009_1.m3u8
CCTV-9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225734/index.m3u8
CCTV-9,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8
CCTV-9,http://110.177.146.171:888/udp/239.1.1.16:8016$1920x1080
CCTV-9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225734/index.m3u8
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010217/1.m3u8
CCTV-10,http://171.213.131.154:4022/rtp/239.93.1.28:5140$1920x1080
CCTV-10,http://221.237.92.253:9999/rtp/239.93.1.28:5140$1920x1080
CCTV-10,http://171.213.130.23:8088/rtp/239.93.1.28:5140$1920x1080
CCTV-10,http://222.211.162.32:1880/rtp/239.93.1.28:5140$1920x1080
CCTV-10,http://223.10.39.207:8083/rtp/239.1.1.17:8017$1920x1080
CCTV-10,http://223.10.115.195:8083/rtp/239.1.1.17:8017$1920x1080
CCTV-10,http://171.117.3.37:8083/rtp/226.0.2.162:9208$1920x1080
CCTV-10,http://116.135.5.103:8082/rtp/226.0.2.162:9208$1920x1080
CCTV-10,http://171.117.3.37:8083/rtp/226.0.2.27:8128$1920x1080
CCTV-10,http://116.135.5.103:8082/rtp/226.0.2.27:8128$1920x1080
CCTV-10,http://[2409:8087:1a01:df::4023]/TVOD/88888888/224/3221225677/main.m3u8
CCTV-10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-10,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225730/2.m3u8
CCTV-10,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226473/index.m3u8
CCTV-10,http://221.0.78.198:1681/hls/10210/index.m3u8
CCTV-10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225730/index.m3u8
CCTV-10,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000023734/1.m3u8
CCTV-10,http://123.182.60.29:9002/hls/10/index.m3u8
CCTV-10,http://116.117.105.198:8096/tsfile/live/0010_1.m3u8
CCTV-10,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002146/index.m3u8
CCTV-11,http://171.213.131.154:4022/rtp/239.93.0.102:5140$1920x1080
CCTV-11,http://221.237.92.253:9999/rtp/239.93.0.102:5140$1920x1080
CCTV-11,http://171.213.130.23:8088/rtp/239.93.0.102:5140$1920x1080
CCTV-11,http://222.211.162.32:1880/rtp/239.93.0.102:5140$1920x1080
CCTV-11,http://223.10.39.207:8083/rtp/239.1.1.18:8018$1920x1080
CCTV-11,http://223.10.115.195:8083/rtp/239.1.1.18:8018$1920x1080
CCTV-11,http://171.117.3.37:8083/rtp/226.0.2.28:8136$1920x1080
CCTV-11,http://116.135.5.103:8082/rtp/226.0.2.28:8136$1920x1080
CCTV-11,http://113.248.167.107:9999/rtp/235.254.198.7:1304$1920x1080
CCTV-11,http://125.80.154.251:8003/rtp/235.254.198.7:1304$1920x1080
CCTV-11,http://39.98.201.151:9090/udp/225.1.8.111:8040
CCTV-11,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226565/index.m3u8
CCTV-11,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000508/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000508
CCTV-11,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031106/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031106
CCTV-11,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=3$1920x1080
CCTV-11,http://115.230.191.3:9999/udp/233.50.201.11:5140$1920x1080
